municipio;estado;data;casosNovos;casosAcumulado;obitosNovos;obitosAcumulado
Araraquara;SP;2021-01-01;60;7871;0;90
Araraquara;SP;2021-01-02;24;7895;0;90
Araraquara;SP;2021-01-03;24;7919;0;90
Araraquara;SP;2021-01-04;6;7925;0;90
Araraquara;SP;2021-01-05;33;7958;0;90
Araraquara;SP;2021-01-06;41;7999;0;90
Araraquara;SP;2021-01-07;50;8049;0;90
Araraquara;SP;2021-01-08;42;8091;1;91
Araraquara;SP;2021-01-09;34;8125;0;91
Araraquara;SP;2021-01-10;20;8145;0;91
Araraquara;SP;2021-01-11;24;8169;0;91
Araraquara;SP;2021-01-12;8;8177;0;91
Araraquara;SP;2021-01-13;43;8220;0;91
Araraquara;SP;2021-01-14;61;8281;0;91
Araraquara;SP;2021-01-15;13;8294;3;94
Araraquara;SP;2021-01-16;34;8328;1;95
Araraquara;SP;2021-01-17;19;8347;0;95
Araraquara;SP;2021-01-18;11;8358;0;95
Araraquara;SP;2021-01-19;63;8421;1;96
Araraquara;SP;2021-01-20;32;8453;0;96
Araraquara;SP;2021-01-21;42;8495;1;97
Araraquara;SP;2021-01-22;19;8514;1;98
Araraquara;SP;2021-01-23;29;8543;1;99
Araraquara;SP;2021-01-24;22;8565;1;100
Araraquara;SP;2021-01-25;5;8570;0;100
Araraquara;SP;2021-01-26;35;8605;0;100
Araraquara;SP;2021-01-27;146;8751;2;102
Araraquara;SP;2021-01-28;70;8821;0;102
Araraquara;SP;2021-01-29;37;8858;1;103
Araraquara;SP;2021-01-30;55;8913;0;103
Araraquara;SP;2021-01-31;27;8940;0;103
Araraquara;SP;2021-02-01;13;8953;3;106
Araraquara;SP;2021-02-02;21;8974;9;115
Araraquara;SP;2021-02-03;20;8994;1;116
Araraquara;SP;2021-02-04;93;9087;0;116
Araraquara;SP;2021-02-05;88;9175;2;118
Araraquara;SP;2021-02-06;40;9215;3;121
Araraquara;SP;2021-02-07;34;9249;0;121
Araraquara;SP;2021-02-08;40;9289;0;121
Araraquara;SP;2021-02-09;69;9358;1;122
Araraquara;SP;2021-02-10;131;9489;3;125
Araraquara;SP;2021-02-11;73;9562;3;128
Araraquara;SP;2021-02-12;85;9647;3;131
Araraquara;SP;2021-02-13;71;9718;4;135
Araraquara;SP;2021-02-14;33;9751;0;135
Araraquara;SP;2021-02-15;62;9813;1;136
Araraquara;SP;2021-02-16;94;9907;3;139
Araraquara;SP;2021-02-17;97;10004;1;140
Araraquara;SP;2021-02-18;133;10137;2;142
Araraquara;SP;2021-02-19;127;10264;1;143
Araraquara;SP;2021-02-20;99;10363;10;153
Araraquara;SP;2021-02-21;40;10403;1;154
Araraquara;SP;2021-02-22;33;10436;0;154
Araraquara;SP;2021-02-23;121;10557;1;155
Araraquara;SP;2021-02-24;120;10677;9;164
Araraquara;SP;2021-02-25;253;10930;5;169
Araraquara;SP;2021-02-26;232;11162;3;172
Araraquara;SP;2021-02-27;167;11329;9;181
Araraquara;SP;2021-02-28;24;11353;0;181
Araraquara;SP;2021-03-01;13;11366;0;181
Araraquara;SP;2021-03-02;113;11479;7;188
Araraquara;SP;2021-03-03;132;11611;6;194
Araraquara;SP;2021-03-04;234;11845;8;202
Araraquara;SP;2021-03-05;156;12001;2;204
Araraquara;SP;2021-03-06;116;12117;1;205
Araraquara;SP;2021-03-07;20;12137;1;206
Araraquara;SP;2021-03-08;11;12148;0;206
Araraquara;SP;2021-03-09;84;12232;8;214
Araraquara;SP;2021-03-10;89;12321;4;218
Araraquara;SP;2021-03-11;115;12436;11;229
Araraquara;SP;2021-03-12;75;12511;14;243
Araraquara;SP;2021-03-13;80;12591;8;251
Araraquara;SP;2021-03-14;14;12605;1;252
Araraquara;SP;2021-03-15;5;12610;1;253
Araraquara;SP;2021-03-16;84;12694;7;260
Araraquara;SP;2021-03-17;68;12762;10;270
Araraquara;SP;2021-03-18;193;12955;2;272
Araraquara;SP;2021-03-19;53;13008;7;279
Araraquara;SP;2021-03-20;82;13090;-1;278
Araraquara;SP;2021-03-21;12;13102;0;278
Araraquara;SP;2021-03-22;41;13143;0;278
Araraquara;SP;2021-03-23;155;13298;11;289
Araraquara;SP;2021-03-24;63;13361;2;291
Araraquara;SP;2021-03-25;55;13416;1;292
Araraquara;SP;2021-03-26;100;13516;1;293
Araraquara;SP;2021-03-27;81;13597;7;300
Araraquara;SP;2021-03-28;68;13665;0;300
Araraquara;SP;2021-03-29;6;13671;0;300
Araraquara;SP;2021-03-30;68;13739;3;303
Araraquara;SP;2021-03-31;114;13853;9;312
Araraquara;SP;2021-04-01;132;13985;0;312
Araraquara;SP;2021-04-02;54;14039;2;314
Araraquara;SP;2021-04-03;183;14222;0;314
Araraquara;SP;2021-04-04;51;14273;0;314
Araraquara;SP;2021-04-05;26;14299;0;314
Araraquara;SP;2021-04-06;99;14398;2;316
Araraquara;SP;2021-04-07;44;14442;0;316
Araraquara;SP;2021-04-08;99;14541;3;319
Araraquara;SP;2021-04-09;127;14668;1;320
Araraquara;SP;2021-04-10;50;14718;0;320
Araraquara;SP;2021-04-11;8;14726;0;320
Araraquara;SP;2021-04-12;6;14732;0;320
Araraquara;SP;2021-04-13;42;14774;0;320
